Car drivers killed	Van drivers killed	Rear seat passengers killed/injured	Front seat passengers killed/injured	date
107	12	269	867	19690131
97	6	265	825	19690228
102	12	319	806	19690331
87	8	407	814	19690430
119	10	454	991	19690531
106	13	427	945	19690630
110	11	522	1004	19690731
106	6	536	1091	19690831
107	10	405	958	19690930
134	16	437	850	19691031
147	13	434	1109	19691130
180	14	437	1113	19691231
125	14	316	925	19700131
134	6	311	903	19700228
110	8	351	1006	19700331
102	11	362	892	19700430
103	7	486	990	19700531
111	13	429	866	19700630
120	13	551	1095	19700731
129	11	646	1204	19700831
122	11	456	1029	19700930
183	14	475	1147	19701031
169	16	456	1171	19701130
190	14	468	1299	19701231
134	17	356	944	19710131
108	16	271	874	19710228
104	15	354	840	19710331
117	13	427	893	19710430
157	13	465	1007	19710531
148	15	440	973	19710630
130	12	539	1097	19710731
140	6	646	1194	19710831
136	9	457	988	19710930
140	13	446	1077	19711031
187	14	402	1045	19711130
150	15	441	1115	19711231
159	14	359	1005	19720131
143	3	334	857	19720229
114	12	312	879	19720331
127	13	427	887	19720430
159	12	434	1075	19720531
156	8	486	1121	19720630
138	8	569	1190	19720731
120	15	523	1058	19720831
117	8	418	939	19720930
170	5	452	1074	19721031
168	17	462	1089	19721130
198	14	497	1208	19721231
144	13	354	903	19730131
146	5	347	916	19730228
109	8	276	787	19730331
131	5	472	1114	19730430
151	12	487	1014	19730531
140	11	505	1022	19730630
153	13	619	1114	19730731
140	15	640	1132	19730831
161	11	559	1111	19730930
168	11	453	1008	19731031
152	10	418	916	19731130
136	13	419	992	19731231
113	8	262	731	19740131
100	6	299	665	19740228
103	8	303	724	19740331
103	14	401	744	19740430
121	12	413	910	19740531
134	14	426	883	19740630
133	13	516	900	19740731
129	9	600	1057	19740831
144	4	459	1076	19740930
154	13	443	919	19741031
156	6	412	920	19741130
163	15	400	953	19741231
122	12	278	664	19750131
92	16	302	607	19750228
117	7	381	777	19750331
95	12	279	633	19750430
96	10	442	791	19750531
108	9	409	790	19750630
108	9	416	803	19750731
106	6	511	884	19750831
140	7	393	769	19750930
114	13	345	732	19751031
158	14	391	859	19751130
161	13	470	994	19751231
102	14	266	704	19760131
127	11	312	684	19760229
125	11	300	671	19760331
101	10	373	643	19760430
97	4	412	771	19760531
112	8	322	644	19760630
112	9	458	828	19760731
113	10	427	748	19760831
108	10	346	767	19760930
128	5	421	825	19761031
154	13	344	810	19761130
162	12	370	986	19761231
112	10	291	714	19770131
79	9	224	567	19770228
82	7	266	616	19770331
127	5	338	678	19770430
108	10	298	742	19770531
110	5	386	840	19770630
123	6	479	888	19770731
103	8	473	852	19770831
97	6	332	774	19770930
140	12	391	831	19771031
165	15	370	889	19771130
183	7	431	1046	19771231
148	14	366	889	19780131
111	4	250	626	19780228
116	10	355	808	19780331
115	8	304	746	19780430
100	7	379	754	19780531
106	11	440	865	19780630
134	3	500	980	19780731
125	5	511	959	19780831
117	11	384	856	19780930
122	10	366	798	19781031
153	10	432	942	19781130
178	7	390	1010	19781231
114	10	306	796	19790131
94	11	232	643	19790228
128	9	342	794	19790331
119	7	329	750	19790430
111	8	394	809	19790531
110	13	355	716	19790630
114	8	385	851	19790731
118	5	463	931	19790831
115	8	453	834	19790930
132	7	373	762	19791031
153	12	401	880	19791130
171	10	466	1077	19791231
115	7	306	748	19800131
95	4	263	593	19800229
92	10	323	720	19800331
100	4	310	646	19800430
95	8	424	765	19800531
114	8	403	820	19800630
102	7	406	807	19800731
104	10	466	885	19800831
132	8	381	803	19800930
136	14	369	860	19801031
117	8	378	825	19801130
137	9	392	911	19801231
111	8	284	704	19810131
106	6	316	691	19810228
98	7	321	688	19810331
84	6	358	714	19810430
94	5	378	814	19810531
105	4	382	736	19810630
123	5	433	876	19810731
109	10	506	829	19810831
130	7	428	818	19810930
153	10	479	942	19811031
134	12	370	782	19811130
99	7	349	823	19811231
115	4	238	595	19820131
104	5	285	673	19820228
131	6	324	660	19820331
108	4	346	676	19820430
103	4	410	755	19820531
115	8	411	815	19820630
122	8	496	867	19820731
122	3	534	933	19820831
125	7	396	798	19820930
137	12	470	950	19821031
138	2	385	825	19821130
152	7	411	911	19821231
120	8	281	619	19830131
95	3	300	426	19830228
100	2	318	475	19830331
89	6	391	556	19830430
82	3	398	559	19830531
89	7	337	483	19830630
60	6	477	587	19830731
84	8	422	615	19830831
113	8	495	618	19830930
126	4	471	662	19831031
122	3	368	519	19831130
118	5	345	585	19831231
92	5	296	483	19840131
86	3	319	434	19840229
81	4	349	513	19840331
84	3	375	548	19840430
87	6	441	586	19840531
90	6	465	522	19840630
79	7	472	601	19840731
96	5	521	644	19840831
122	7	429	643	19840930
120	7	408	641	19841031
137	4	490	711	19841130
154	7	491	721	19841231
