rear,front,date
269,867,19690131
265,825,19690228
319,806,19690331
407,814,19690430
454,991,19690531
427,945,19690630
522,1004,19690731
536,1091,19690831
405,958,19690930
437,850,19691031
434,1109,19691130
437,1113,19691231
316,925,19700131
311,903,19700228
351,1006,19700331
362,892,19700430
486,990,19700531
429,866,19700630
551,1095,19700731
646,1204,19700831
456,1029,19700930
475,1147,19701031
456,1171,19701130
468,1299,19701231
356,944,19710131
271,874,19710228
354,840,19710331
427,893,19710430
465,1007,19710531
440,973,19710630
539,1097,19710731
646,1194,19710831
457,988,19710930
446,1077,19711031
402,1045,19711130
441,1115,19711231
359,1005,19720131
334,857,19720229
312,879,19720331
427,887,19720430
434,1075,19720531
486,1121,19720630
569,1190,19720731
523,1058,19720831
418,939,19720930
452,1074,19721031
462,1089,19721130
497,1208,19721231
354,903,19730131
347,916,19730228
276,787,19730331
472,1114,19730430
487,1014,19730531
505,1022,19730630
619,1114,19730731
640,1132,19730831
559,1111,19730930
453,1008,19731031
418,916,19731130
419,992,19731231
262,731,19740131
299,665,19740228
303,724,19740331
401,744,19740430
413,910,19740531
426,883,19740630
516,900,19740731
600,1057,19740831
459,1076,19740930
443,919,19741031
412,920,19741130
400,953,19741231
278,664,19750131
302,607,19750228
381,777,19750331
279,633,19750430
442,791,19750531
409,790,19750630
416,803,19750731
511,884,19750831
393,769,19750930
345,732,19751031
391,859,19751130
470,994,19751231
266,704,19760131
312,684,19760229
300,671,19760331
373,643,19760430
412,771,19760531
322,644,19760630
458,828,19760731
427,748,19760831
346,767,19760930
421,825,19761031
344,810,19761130
370,986,19761231
291,714,19770131
224,567,19770228
266,616,19770331
338,678,19770430
298,742,19770531
386,840,19770630
479,888,19770731
473,852,19770831
332,774,19770930
391,831,19771031
370,889,19771130
431,1046,19771231
366,889,19780131
250,626,19780228
355,808,19780331
304,746,19780430
379,754,19780531
440,865,19780630
500,980,19780731
511,959,19780831
384,856,19780930
366,798,19781031
432,942,19781130
390,1010,19781231
306,796,19790131
232,643,19790228
342,794,19790331
329,750,19790430
394,809,19790531
355,716,19790630
385,851,19790731
463,931,19790831
453,834,19790930
373,762,19791031
401,880,19791130
466,1077,19791231
306,748,19800131
263,593,19800229
323,720,19800331
310,646,19800430
424,765,19800531
403,820,19800630
406,807,19800731
466,885,19800831
381,803,19800930
369,860,19801031
378,825,19801130
392,911,19801231
284,704,19810131
316,691,19810228
321,688,19810331
358,714,19810430
378,814,19810531
382,736,19810630
433,876,19810731
506,829,19810831
428,818,19810930
479,942,19811031
370,782,19811130
349,823,19811231
238,595,19820131
285,673,19820228
324,660,19820331
346,676,19820430
410,755,19820531
411,815,19820630
496,867,19820731
534,933,19820831
396,798,19820930
470,950,19821031
385,825,19821130
411,911,19821231
281,619,19830131
300,426,19830228
318,475,19830331
391,556,19830430
398,559,19830531
337,483,19830630
477,587,19830731
422,615,19830831
495,618,19830930
471,662,19831031
368,519,19831130
345,585,19831231
296,483,19840131
319,434,19840229
349,513,19840331
375,548,19840430
441,586,19840531
465,522,19840630
472,601,19840731
521,644,19840831
429,643,19840930
408,641,19841031
490,711,19841130
491,721,19841231
